movieId,imdbId,title,year,genres,director,actors,plot,rating,runtime,language,country,poster
11,tt0372784,Batman Begins,2005,Action|Crime|Drama,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe","When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia, where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as ""Batman"". But it doesn't stay quiet for long.",8.2,140 min,"English, Mandarin","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_SX300.jpg
12,tt1877830,The Batman,2022,Action|Crime|Drama,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright","When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,176 min,"English, Spanish, Latin, Italian",United States,https://m.media-amazon.com/images/M/MV5BMmU5NGJlMzAtMGNmOC00YjJjLTgyMzUtNjAyYmE4Njg5YWMyXkEyXkFqcGc@._V1_SX300.jpg
13,tt2975590,Batman v Superman: Dawn of Justice,2016,Action|Adventure|Sci-Fi,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams","The general public is concerned over having Superman on their planet and letting the ""Dark Knight"" - Batman - pursue the streets of Gotham. While this is happening, a power-phobic Batman tries to attack Superman. Meanwhile, Superman tries to settle on a decision, and Lex Luthor, the criminal mastermind and millionaire, tries to use his own advantages to fight the ""Man of Steel"".",6.4,151 min,English,"United States, Morocco",https://m.media-amazon.com/images/M/MV5BZTJkYjdmYjYtOGMyNC00ZGU1LThkY2ItYTc1OTVlMmE2YWY1XkEyXkFqcGc@._V1_SX300.jpg
14,tt0096895,Batman,1989,Action|Adventure,Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger","Gotham City. Crime boss Carl Grissom (Jack Palance) effectively runs the town but there's a new crime fighter in town - Batman (Michael Keaton). Grissom's right-hand man is Jack Napier (Jack Nicholson), a brutal man who is not entirely sane... After falling out between the two Grissom has Napier set up with the Police and Napier falls to his apparent death in a vat of chemicals. However, he soon reappears as The Joker and starts a reign of terror in Gotham City. Meanwhile, reporter Vicki Vale (Kim Basinger) is in the city to do an article on Batman. She soon starts a relationship with Batman's everyday persona, billionaire Bruce Wayne.",7.5,126 min,"English, French, Spanish","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BYzZmZWViM2EtNzhlMi00NzBlLWE0MWEtZDFjMjk3YjIyNTBhXkEyXkFqcGc@._V1_SX300.jpg
15,tt0103776,Batman Returns,1992,Action|Crime|Fantasy,Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer",In the sewers of gotham city to the rooftops of the gotham city the penguin wants to know where he came from well in his villain ways catwoman plans to kill rich man of gotham max shreak but as he battles with millionaire Bruce Wayne both ladies men have their own secrets Bruce Wayne is back as Bat man trying to stop the penguin Max is helping penguin steal gotham city while selina Kyle/catwoman tries to help penguin not knowing her man murder target also her murder is helping him but all four men have their goals taking gotham from crime winning gotham city assassination for two men and more money to be gotham citys number one rich man.,7.1,126 min,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BZTliMDVkYTktZDdlMS00NTAwLWJhNzYtMWIwMDZjN2ViMGFiXkEyXkFqcGc@._V1_SX300.jpg
16,tt0118688,Batman & Robin,1997,Action|Sci-Fi,Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell","Batman and Robin are back working side-by-side to stop the villains of Gotham City, but is there tension appearing between them, especially when one villainess who calls herself Poison Ivy can make anyone fall in love with her...literally. Along with Poison Ivy, the icy Mr. Freeze is freezing anything which gets in his way from achieving his goal.",3.8,125 min,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BYzU3ZjE3M2UtM2E4Ni00MDI5LTkyZGUtOTFkMGIyYjNjZGU3XkEyXkFqcGc@._V1_SX300.jpg
17,tt0112462,Batman Forever,1995,Action|Adventure,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey","The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder.",5.4,121 min,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTUyNjJhZWItMTZkNS00NDc4LTllNjUtYTg3NjczMzA5ZTViXkEyXkFqcGc@._V1_SX300.jpg
18,tt4116284,The Lego Batman Movie,2017,Animation|Action|Adventure,Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson","There are big changes brewing in Gotham City, and if he wants to save the city from The Joker's hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",7.3,104 min,English,"United States, Denmark, Australia",https://m.media-amazon.com/images/M/MV5BMTcyNTEyOTY0M15BMl5BanBnXkFtZTgwOTAyNzU3MDI@._V1_SX300.jpg
19,tt18689424,Batman v Superman: Dawn of Justice (Ultimate Edition),2016,Action|Adventure|Sci-Fi,Zack Snyder,"Amy Adams, Ben Affleck, Henry Cavill","Fearing the actions of a god-like super hero left unchecked, Gotham City's own formidable, forceful vigilante takes on Metropolis's most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it's ever known before.",7.2,182 min,English,United States,https://m.media-amazon.com/images/M/MV5BOTRlNWQwM2ItNjkyZC00MGI3LThkYjktZmE5N2FlMzcyNTIyXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_SX300.jpg
20,tt5950044,Superman,2025,Action|Adventure|Sci-Fi,James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult","Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world that views these as old-fashioned.",7.1,129 min,English,"United States, Canada, Australia, New Zealand",https://m.media-amazon.com/images/M/MV5BOGMwZGJiM2EtMzEwZC00YTYzLWIxNzYtMmJmZWNlZjgxZTMwXkEyXkFqcGc@._V1_SX300.jpg
21,tt0348150,Superman Returns,2006,Action|Adventure|Sci-Fi,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth","Following a mysterious absence of several years, the Man of Steel comes back to Earth in the epic action-adventure Superman Returns, a soaring new chapter in the saga of one of the world's most beloved superheroes. While an old enemy plots to render him powerless once and for all, Superman faces the heartbreaking realization that the woman he loves, Lois Lane, has moved on with her life. Or has she? Superman's bittersweet return challenges him to bridge the distance between them while finding a place in a society that has learned to survive without him. In an attempt to protect the world he loves from cataclysmic destruction, Superman embarks on an epic journey of redemption that takes him from the depths of the ocean to the far reaches of outer space.",6.1,154 min,"English, German, French","United States, Australia",https://m.media-amazon.com/images/M/MV5BMjg1ZGRiMTEtYmU4Zi00NTkwLWJmODQtMjU3MTAyMGQ2OGZlXkEyXkFqcGc@._V1_SX300.jpg
22,tt0078346,Superman,1978,Action|Adventure|Sci-Fi,Richard Donner,"Christopher Reeve, Margot Kidder, Gene Hackman","Just before the destruction of the planet Krypton, scientist Jor-El sends his infant son Kal-El on a spaceship to Earth. Raised by kindly farmers Jonathan and Martha Kent, young Clark discovers the source of his superhuman powers and moves to Metropolis to fight evil. As Superman, he battles the villainous Lex Luthor, while, as novice reporter Clark Kent, he attempts to woo co-worker Lois Lane",7.4,143 min,English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMzFlZDJjMDAtZDYxZS00NzZhLTk2ODMtZWRlODA3Njk3ZTdmXkEyXkFqcGc@._V1_SX300.jpg
23,tt0081573,Superman II,1980,Action|Adventure|Sci-Fi,"Richard Lester, Richard Donner","Gene Hackman, Christopher Reeve, Margot Kidder","Picking up where ""Superman: The Movie"" left off, three criminals, General Zod (Terence Stamp), Ursa, (Sarah Douglas), and Non (Jack O'Halloran) from the planet Krypton are released from the Phantom Zone by a nuclear explosion in space. They descend upon Earth where they could finally rule. Superman, meanwhile, is in love with Lois Lane (Margot Kidder), who finds out who he really is. Lex Luthor (Gene Hackman) escapes from prison and is determined to destroy Superman by joining forces with the three criminals.",6.8,127 min,"English, French, Russian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNzg5ZjJkNGEtNzhjNy00YzI4LTlkZjItNTViNmYxNGZlZWE2XkEyXkFqcGc@._V1_SX300.jpg
24,tt0086393,Superman III,1983,Action|Adventure|Comedy,Richard Lester,"Christopher Reeve, Richard Pryor, Margot Kidder","In mortal enemies, the Man of Steel has no match. Even faced with a trio of sinister super-powered villains from his home planet, Superman saved the day. But can super-strength stand up to the diabolical circuitry of a criminally insane computer? Enter Gus Gorman, a genial half-wit who just happens to be a natural-born genius at computer programming. In his hands, a computer keyboard turns into a deadly weapon, and soon, Superman faces the microelectronic menace of his career. Clark Kent meets his old flame Lana Lang at a Smallville High School reunion and Superman turns into his own worst enemy after exposure to a chunk of red kryptonite.",5.0,125 min,"English, Italian, Spanish","United Kingdom, United States, Netherlands",https://m.media-amazon.com/images/M/MV5BYjcyN2E4NzQtYmUwZC00NmQ5LWJkMWUtMThjZGIwZGIwYzZmXkEyXkFqcGc@._V1_SX300.jpg
25,tt0094074,Superman IV: The Quest for Peace,1987,Action|Adventure|Sci-Fi,Sidney J. Furie,"Christopher Reeve, Gene Hackman, Margot Kidder","Superman does a lot in his newest adventure. Archvillain Lex Luthor, determined to make the world safe for nuclear arms merchants, creates a new being to challenge the Man of Steel: the radiation-charged Nuclear Man. The two super-powered foes clash in an explosive screen extranvaganza that sees Superman save the Statue of Liberty, repulse a volcanic eruption of Mount Etna, rebuild the demolished Great Wall of China and perform many more spetactular feats.",3.8,90 min,"English, Russian, French, Italian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BZjhkODhlYjEtMDEyZS00YjZmLWJjMDctZGI3MGJiNDEyNTE2XkEyXkFqcGc@._V1_SX300.jpg
26,tt1673430,Superman/Batman: Apocalypse,2010,Animation|Action|Adventure|Sci-Fi,Lauren Montgomery,"Andre Braugher, Kevin Conroy, Tim Daly, Susan Eisenberg","Batman discovers a mysterious teen-aged girl with super-human powers and a connection to Superman. When the girl comes to the attention of Darkseid, the evil overlord of Apokolips, events take a decidedly dangerous turn.",7.1,78 min,"English, French, Esperanto",USA,https://m.media-amazon.com/images/M/MV5BMjk3ODhmNjgtZjllOC00ZWZjLTkwYzQtNzc1Y2ZhMjY2ODE0XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
27,tt0076759,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Fantasy,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","The Imperial Forces, under orders from cruel Darth Vader, hold Princess Leia hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker and Han Solo, captain of the Millennium Falcon, work together with the companionable droid duo R2-D2 and C-3PO to rescue the beautiful princess, help the Rebel Alliance and restore freedom and justice to the Galaxy.",8.6,121 min,English,United States,https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_SX300.jpg
28,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Action|Adventure|Fantasy,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.",8.7,124 min,English,United States,https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_SX300.jpg
29,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,Action|Adventure|Fantasy,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker battles Jabba the Hutt and Darth Vader to save his comrades in the Rebel Alliance and triumph over the Galactic Empire. Han Solo and Princess Leia reaffirm their love, and team with Chewbacca, Lando Calrissian, the Ewoks, and droids C-3PO and R2-D2 to aid in the disruption of the Dark Side, and the defeat of the evil emperor.",8.3,131 min,"English, Kikuyu, Tagalog, Kalmyk-Oirat, Quechua, Polish",United States,https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_SX300.jpg
30,tt2488496,Star Wars: Episode VII - The Force Awakens,2015,Action|Adventure|Sci-Fi,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac","30 years after the defeat of Darth Vader and the Empire, Rey, a scavenger from the planet Jakku, finds a BB-8 droid that knows the whereabouts of the long lost Luke Skywalker. Rey, as well as a rogue stormtrooper and two smugglers, are thrown into the middle of a battle between the Resistance and the daunting legions of the First Order.",7.7,138 min,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg
31,tt0120915,Star Wars: Episode I - The Phantom Menace,1999,Action|Adventure|Fantasy,George Lucas,"Ewan McGregor, Liam Neeson, Natalie Portman","The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy?",6.5,136 min,"English, Sanskrit","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX300.jpg
32,tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,Action|Adventure|Fantasy,George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor","Nearly three years have passed since the beginning of the Clone Wars. The Republic, with the help of the Jedi, take on Count Dooku and the Separatists. With a new threat rising, the Jedi Council sends Obi-Wan Kenobi and Anakin Skywalker to aid the captured Chancellor. Anakin feels he is ready to be promoted to Jedi Master. Obi-Wan is hunting down the Separatist General, Grievous. When Anakin has future visions of pain and suffering coming Padmé's way, he sees Master Yoda for counsel. When Darth Sidious executes Order 66, it destroys most of all the Jedi have built. Experience the birth of Darth Vader. Feel the betrayal that leads to hatred between two brothers. And witness the power of hope.",7.6,140 min,English,"United States, Italy, Switzerland, Thailand, United Kingdom",https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg
33,tt0121765,Star Wars: Episode II - Attack of the Clones,2002,Action|Adventure|Fantasy,George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor","Ten years after the invasion of Naboo, the Galactic Republic is facing a Separatist movement and the former queen and now Senator Padmé Amidala travels to Coruscant to vote on a project to create an army to help the Jedi to protect the Republic. Upon arrival, she escapes from an attempt to kill her, and Obi-Wan Kenobi and his Padawan Anakin Skywalker are assigned to protect her. They chase the shape-shifter Zam Wessell but she is killed by a poisoned dart before revealing who hired her. The Jedi Council assigns Obi-Wan Kenobi to discover who has tried to kill Amidala and Anakin to protect her in Naboo. Obi-Wan discovers that the dart is from the planet Kamino, and he heads to the remote planet. He finds an army of clones that has been under production for years for the Republic and that the bounty hunter Jango Fett was the matrix for the clones. Meanwhile Anakin and Amidala fall in love with each other, and he has nightmarish visions of his mother. They travel to his home planet, Tatooine, to see his mother, and he discovers that she has been abducted by Tusken Raiders. Anakin finds his mother dying, and he kills all the Tusken tribe, including the women and children. Obi-Wan follows Jango Fett to the planet Geonosis where he discovers who is behind the Separatist movement. He transmits his discoveries to Anakin since he cannot reach the Jedi Council. Who is the leader of the Separatist movement? Will Anakin receive Obi-Wan's message? And will the secret love between Anakin and Amidala succeed?",6.6,142 min,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BNTgxMjY2YzUtZmVmNC00YjAwLWJlODMtNDBhNzllNzIzMjgxXkEyXkFqcGc@._V1_SX300.jpg
34,tt3748528,Rogue One: A Star Wars Story,2016,Action|Adventure|Sci-Fi,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk","All looks lost for the Rebellion against the Empire as they learn of the existence of a new super weapon, the Death Star. Once a possible weakness in its construction is uncovered, the Rebel Alliance must set out on a desperate mission to steal the plans for the Death Star. The future of the entire galaxy now rests upon its success.",7.8,133 min,English,United States,https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg
35,tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,Action|Adventure|Fantasy,Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill","Jedi Master-in-hiding Luke Skywalker unwillingly attempts to guide young hopeful Rey in the ways of the force, while Leia, former princess turned general, attempts to lead what is left of the Resistance away from the ruthless tyrannical grip of the First Order.",6.8,152 min,English,United States,https://m.media-amazon.com/images/M/MV5BMjQ1MzcxNjg4N15BMl5BanBnXkFtZTgwNzgwMjY4MzI@._V1_SX300.jpg
36,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,Action|Adventure|Fantasy,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac","While the First Order continues to ravage the galaxy, Rey finalizes her training as a Jedi. But danger suddenly rises from the ashes as the evil Emperor Palpatine mysteriously returns from the dead. While working with Finn and Poe Dameron to fulfill a new mission, Rey will not only face Kylo Ren once more, but she will also finally discover the truth about her parents as well as a deadly secret that could determine her future and the fate of the ultimate final showdown that is to come.",6.4,141 min,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BODg5ZTNmMTUtYThlNy00NjljLWE0MGUtYmQ1NDg4NWU5MjQ1XkEyXkFqcGc@._V1_SX300.jpg
37,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure|Drama|Fantasy,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.",8.9,178 min,"English, Sindarin","New Zealand, United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_SX300.jpg
38,tt0167260,The Lord of the Rings: The Return of the King,2003,Adventure|Drama|Fantasy,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen","The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.",9.0,201 min,"English, Quenya, Old English, Sindarin","New Zealand, United States",https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_SX300.jpg
39,tt0167261,The Lord of the Rings: The Two Towers,2002,Adventure|Drama|Fantasy,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen","The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas, and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.",8.8,179 min,"English, Sindarin, Old English","New Zealand, United States",https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_SX300.jpg
40,tt0077869,The Lord of the Rings,1978,Animation|Adventure|Fantasy,Ralph Bakshi,"Christopher Guard, William Squire, Michael Scholes","A young Hobbit known as Frodo has been thrown on an amazing adventure, when he is appointed the job of destroying the One Ring, which was created by the Dark Lord Sauron. He is assigned with three warriors including Gandelf, Aragorn, and Boromir. But it's not going to be an easy journey for the Fellowship of the Ring, on the ultimate quest to rid the Middle-earth of all evil.",6.2,132 min,"English, Sindarin","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BZmI4ZmIxOGQtMGY2ZS00Y2Y5LTllMDItYzllOWFmMTNlMmY2XkEyXkFqcGc@._V1_SX300.jpg
